doc_id	snt_id	snt_source
15	M1_15_1	Upon completion, subjects rested on the bike for 2 min before undertaking 10×30 s high intensity intervals at ∼110% of PPO, with 30 s active recovery (∼50% PPO) between each work bout.
1533716782	G01.1_1533716782_1	With network and small screen device improvements, such as wireless abilities, increased memory and CPU speeds, users are no longer limited by location when accessing on-line information.
1533716782	G01.1_1533716782_2	We are interested in studying the effect of users switching from a large screen device, such as a desktop or laptop to use the same web page on a small device, in this case a PDA (Personal Digital Assistant).
1533716782	G01.1_1533716782_3	We discuss three common transformation approaches for display of web pages on the small screen: Direct Migration, Linear and Overview.
1533716782	G01.1_1533716782_4	We introduce a new Overview method, called the Gateway, for use on the small screen that exploits a user’s familiarity of a web page.
1533716782	G01.1_1533716782_5	The users in an initial study prefer using the Gateway and Direct Migration approach for web pages previously used on the large screen, despite the common Linear approach used by many web sites.
2093013061	G10.1_2093013061_1	In this paper, we present an integrated navigation system that allows humanoid robots to autonomously navigate in unknown, cluttered environments.
2093013061	G10.1_2093013061_2	From the data of an onboard consumer-grade depth camera, our system estimates the robot's pose to compensate for drift of odometry and maintains a heightmap representation of the environment.
2093013061	G10.1_2093013061_3	Based on this model, our system iteratively computes sequences of safe actions including footsteps and whole-body motions, leading the robot to target locations.
2093013061	G10.1_2093013061_4	To efficiently check for collisions during planning, we developed a new approach that takes into account the shape of the robot and the obstacles.
2093013061	G10.1_2093013061_5	As we demonstrate in experiments with a Nao humanoid, our system leads to robust navigation in cluttered environments and the robot is able to traverse highly challenging passages.
2339209416	G04.1_2339209416_1	Annotation of bioassay protocols using semantic web vocabulary is a way to make experiment descriptions machine-readable.
2339209416	G04.1_2339209416_2	Protocols are communicated using concise scientific English, which precludes most kinds of analysis by software algorithms.
2339209416	G04.1_2339209416_3	Given the availability of a sufficiently expressive ontology, some or all of the pertinent information can be captured by asserting a series of facts, expressed as semantic web triples (subject, predicate, object).
2339209416	G04.1_2339209416_4	With appropriate annotation, assays can be searched, clustered, tagged and evaluated in a multitude of ways, analogous to other segments of drug discovery informatics.
2339209416	G04.1_2339209416_5	The BioAssay Ontology (BAO) has been previously designed for this express purpose, and provides a layered hierarchy of meaningful terms which can be linked to.
2757079914	G05.1_2757079914_1	CRISPR-Cas is a tool that is widely used for gene editing.
2757079914	G05.1_2757079914_2	However, unexpected off-target effects may occur as a result of long-term nuclease activity.
2757079914	G05.1_2757079914_3	Anti-CRISPR proteins, which are powerful molecules that inhibit the CRISPR-Cas system, may have the potential to promote better utilization of the CRISPR-Cas system in gene editing, especially for gene therapy.
2757079914	G05.1_2757079914_4	Additionally, more in-depth research on these proteins would help researchers to better understand the co-evolution of bacteria and phages.
2757079914	G05.1_2757079914_5	Therefore, it is necessary to collect and integrate data on various types of anti-CRISPRs.
2889349357	G08.1_2889349357_1	With the introduction of memory-bound cryptocurrencies, such as Monero, the implementation of mining code in browser-based JavaScript has become a worthwhile alternative to dedicated mining rigs.
2889349357	G08.1_2889349357_2	Based on this technology, a new form of parasitic computing, widely called cryptojacking or drive-by mining, has gained momentum in the web. A cryptojacking site abuses the computing resources of its visitors to covertly mine for cryptocurrencies.
2889349357	G08.1_2889349357_3	In this paper, we systematically explore this phenomenon. For this, we propose a 3-phase analysis approach, which enables us to identify mining scripts and conduct a large-scale study on the prevalence of cryptojacking in the Alexa 1 million websites.
2889349357	G08.1_2889349357_4	We find that cryptojacking is common, with currently 1 out of 500 sites hosting a mining script.
2889349357	G08.1_2889349357_5	Moreover, we perform several secondary analyses to gain insight into the cryptojacking landscape, including a measurement of code characteristics, an estimate of expected mining revenue, and an evaluation of current blacklist-based countermeasures.
2889740235	G08.1_2889740235_1	Vandal is both fast and robust, successfully analysing over 95\% of all 141k unique contracts with an average runtime of 4.15 seconds; outperforming the current state of the art tools---Oyente, EthIR, Mythril, and Rattle---under equivalent conditions.
2941964798	G04.3_2941964798_1	Identifying antimicrobial resistant (AMR) bacteria in metagenomics samples is essential for public health and food safety.
2941964798	G04.3_2941964798_2	Next-generation sequencing (NGS) technology has provided a powerful tool in identifying the genetic variation and constructing the correlations between genotype and phenotype in humans and other species.
2941964798	G04.3_2941964798_3	a Bayesian framework for genotype estimation for mixtures of multiple bacteria, named as Genetic Polymorphisms Assignments (GPA) has reduced the false discovery rate (FDR) and mean absolute error (MAE) in single nucleotide variant (SNV) identification.
2968176166	G06.2_2968176166_1	In recent years self-driving vehicles have become more commonplace on public roads, with the promise of bringing safety and efficiency to modern transportation systems.
