snt_id	term	definition	explanation	exp_id
G01.1_1019677957_1	mobile emerging carrier	a growing mode of education which makes use of mobile devices	mode of education which combines learning with mobile devices such as personal digital assistants, smartphones, and e-books, and which is becoming gradually widespread	2
G01.1_1019677957_1	PDA	small, mobile, handheld device that provides computing and information storage and retrieval capabilities	acronym of personal digital assistant, the precursor to smartphones, which usually had a small physical keyboard even tough some had an electronically sensitive pad on which handwriting could be received	2
G01.1_1019677957_1	personal digital assistant	small, mobile, handheld device that provides computing and information storage and retrieval capabilities	the precursor to smartphones, it usually had a small physical keyboard even tough some had an electronically sensitive pad on which handwriting could be received	2
G01.1_1019677957_2	context-aware technology	systems or devices that have the capability to gather information about the environment or context in which they are operating and adapt their behavior accordingly	technologies that make use of data analytics, machine learning, and user interaction techniques to deliver personalized and relevant services to users based on their surroundings, preferences, activities, and real-time conditions	2
G01.1_1019677957_2	mobile carrier	a mode of education which makes use of mobile devices	mode of education which combines learning with mobile devices such as personal digital assistants, smartphones, and e-books	2
G01.1_1019677957_2	wireless network environment	a system in which devices makes use of Radio Frequency connections between nodes in the network	a system in which devices are connected to a network without the need for physical cables or wires	2
G01.1_1019677957_3	mobile learning	learning that involves accessing educational content via mobile devices	use of mobile devices such as smartphones, tablets, and other portable gadgets for the delivery of learning content and educational experiences	2
G01.1_1019677957_4	mobile learning activity	educational tasks, exercises, or experiences via mobile devices	educational tasks, exercises, or experiences that make use of mobile devices such as smartphones, tablets, and other portable gadgets for the delivery of learning content and educational experiences	2
G01.1_1019677957_6	competetive learning group of students	group where students are engaged in a learning environment where competition is integrated	group where students learn by working in opposition to one another using the intrinsic motivation to win and be better than the others	2
G01.1_1019677957_6	non-competetive learning group of students	group where students are engaged in a learning environment where competition is not integrated	group where students learn by working in a non-competitive environment, in which the focus might be on collaborative learning, cooperate activities or individual progress	2
G01.1_111823101_1	Bluetooth wireless technology	short-range wireless communication technology that allows devices to connect and exchange data.	It facilitates data exchange between devices like smartphones, computers, and peripherals such as headphones or medical devices. Bluetooth technology eliminates the need for physical cables, providing convenience and versatility in device connectivity.	15
G01.1_111823101_1	electrophysiological wireless	wireless transmission and recording of physiological electrical activity.	It refers to the wireless transmission and recording of electrophysiological signals, which involve the electrical activity generated by cells, tissues, or organs. In various applications, it often pertains to monitoring neural or muscular activity without the need for physical connections.	15
G01.1_111823101_1	GPS device	device for determining and providing accurate geographical location information.	Is a portable electronic tool equipped with Global Positioning System technology. It receives signals from satellites to determine its precise geographical location. GPS devices are commonly used for navigation, mapping, and tracking the movement of objects or individuals.	15
G01.1_111823101_1	local server	server that operates within a limited geographical area, providing data storage to local devices.	is a computing system that operates within a specific geographic area, providing services such as data storage, processing, or networking. It serves the needs of devices within its proximity and is often used for faster data access and reduced latency.	15
G01.1_111823101_1	mobile phone	portable electronic device used for communication.	It provides voice and text communication, internet access, and a variety of applications. Mobile phones have become integral to daily life, serving as multifunctional tools for both personal and professional activities.	15
G01.1_111823101_1	physiological signals	biological indicators or measurements that reflect the functioning of physiological systems in the body.	These signals include vital parameters like heart rate, blood pressure, respiratory rate, and brain activity. Monitoring physiological signals is crucial in healthcare, research, and fitness to assess and understand the body's health and performance.	15
G01.1_111823101_1	Wireless ECG signal transmitter	device that wirelessly transmits electrocardiogram (ECG) signals, measuring the electrical activity of the heart.	It measures the electrical activity of the heart and is crucial for monitoring cardiac health. The transmitter allows real-time or remote monitoring of a person's heart activity without the constraints of wired connections.	15
G01.1_111823101_2	mobile devices 	portable electronic tools  that enable communication, access to information, and various applications on the go.	Such as smartphones or tablets, are portable electronic tools that enable users to communicate, access information, and utilize applications while on the move.	15
G01.1_111823101_2	monitor units	devices used for observing, measuring, or recording specific parameters or activities.	Devices or systems employed to observe, measure, or record specific parameters, providing real-time information or data feedback.	15
G01.1_111823101_2	PDA	handheld electronic devices designed for personal organization.	Is a handheld electronic device designed for personal organization. PDAs often include features like calendars, note-taking, and contact management.	15
G01.1_111823101_2	personal digital assistant	handheld electronic devices designed for personal organization.	Is a handheld electronic device designed for personal organization. PDAs often include features like calendars, note-taking, and contact management.	15
G01.1_111823101_2	Web page	a document or information resource on the World Wide Web.	It typically contains a combination of text, images, and hyperlinks, providing content and interactivity for online users.	15
G01.1_111823101_2	wireless communication	transmission of data between devices without physical connections.	Involves the transmission of data or information between devices without the need for physical connections. It commonly utilizes technologies like Wi-Fi, Bluetooth, or cellular networks.	15
G01.1_111823101_3	monitor units	measurement unit used in radiation therapy and medical imaging.	In radiation therapy, monitor units represent a quantity used to calibrate the radiation dose delivered to a specific target area during treatment. In medical imaging, monitor units may be used to quantify the amount of radiation exposure or the intensity of a specific imaging procedure. Monitoring units are essential for ensuring accurate and controlled radiation delivery in therapeutic applications and for assessing radiation doses in diagnostic imaging.	15
G01.1_111823101_4	application	software program or tool designed to perform specific tasks or functions on electronic devices.	It can range from productivity tools and games to utilities and communication platforms on electronic devices such as computers, smartphones, or tablets.	15
