snt_id	term	definition	positive	negative
G01.1_1533716782_1	CPU	Principal part of any digital computer system, generally composed of the main memory, control unit, and arithmetic-logic unit.	The CPU, or Central Processing Unit, is the primary component of a computer that performs most of the processing inside a computer.|CPU is responsible for executing a sequence of stored instructions called a program.	The CPU temperature rose significantly when running multiple resource-intensive applications simultaneously, indicating a potential cooling issue.|The performance of the computer was greatly affected, and the CPU usage remained consistently high during the simulation of the complex algorithm.
G01.1_1533716782_3	direct migration	A feature which enables the transfer of persistent volumes and internal images directly from the source cluster to the destination cluster without an intermediary replication repository.	Direct migration refers to the process of moving a virtual machine from one physical host to another without the need for an intermediary step or intermediate storage.|In cloud computing, direct migration allows for seamless movement of virtualized workloads between different physical servers within a data center.	During the server upgrade, the IT team decided to use a different migration technique instead of direct migration to avoid potential data loss and system instability.|The direct migration feature was disabled in the virtualization software due to compatibility issues with the new hardware configuration.
G01.1_1533716782_3	linear	An approach used in image processing which makes use of scaling, rotation and translation procedures in order to transform images.	In computer science, linear refers to a type of data structure in which elements are arranged sequentially, with each element connected to the next in a linear fashion.|Linear programming is a mathematical method for determining a way to achieve the best outcome in a given mathematical model for some list of requirements represented as linear relationships.	The complexity of the linear search algorithm is O(n), which means it has to traverse the entire list to find the desired element, making it inefficient for large datasets.|The linear probing technique in hash tables can lead to clustering and decreased performance in cases where there are multiple collisions.|Many sorting algorithms, such as bubble sort and insertion sort, have a time complexity of O(n^2) when the input is in linear order, leading to inefficiency for large datasets.|In linear algebra, the concept of linear independence plays a crucial role in determining the number of solutions to a system of linear equations.
G01.1_1533716782_3	overview	A type of web display that lists recently accessed activities and tasks.	An overview provides a general understanding or summary of a topic without going into too much detail. It gives the reader an idea of what to expect in the main content.|In computer science, an overview of an algorithm typically includes its purpose, basic steps, and the expected time and space complexity.	The overview of the software development process encompasses various stages such as requirement analysis, design, coding, testing, and maintenance.|In the overview of machine learning algorithms, decision trees are presented as a type of supervised learning method used for both classification and regression tasks.|An overview of the networking protocols used in the internet includes TCP/IP, HTTP, FTP, and SMTP, each serving different purposes in facilitating communication and data transfer.|The overview of cybersecurity threats in a network environment covers various types of attacks such as phishing, ransomware, DDoS, and social engineering.
G01.1_1533716782_4	gateway	A new Overview method which is for use on the small screen and that exploits a user’s familiarity of a web page.	A gateway is a network node that connects two networks using different protocols, serving as an entry and exit point for data traffic.|In computer networking, a gateway is a device or a software program that acts as a bridge between different networks to facilitate communication and data transfer.	The gateway router is responsible for forwarding data packets between the local network and the internet.|The gateway address is used to identify the node that serves as the access point to another network.|The configuration of the gateway is crucial for securing the network from unauthorized access.|The firewall at the gateway filters incoming and outgoing traffic to protect the internal network.
G10.1_2093013061_2	consumer-grade depth camera	A consumer camera which captures the color and the intensity of a scene, but also its depth information, thus creating a three-dimensional representation.	A consumer-grade depth camera is a type of camera that uses infrared sensors to capture depth information of a scene, enabling applications such as gesture recognition, 3D scanning, and augmented reality.|Consumer-grade depth cameras are designed for everyday use and are commonly used in gaming consoles, smartphones, and interactive digital signage.	The consumer-grade depth camera market has seen significant growth due to the increasing demand for virtual reality and augmented reality applications.|The accuracy of consumer-grade depth cameras has improved with advancements in sensor technology and signal processing algorithms.|Consumer-grade depth cameras offer an affordable solution for depth sensing compared to professional-grade equipment.|The integration of consumer-grade depth cameras in robotics has enhanced the perception capabilities of autonomous systems.
G10.1_2093013061_2	odometry	The usage of internal sensors in a robotic environment to estimate the robot pose.	Odometry is the use of data from motion sensors to estimate change in position over time for a mobile robot.|In robotics, odometry refers to the use of wheel encoders or other motion sensors to estimate a robot's change in position over time.	The accuracy of odometry-based localization can be affected by wheel slippage, uneven terrain, or sensor noise.|Simultaneous Localization and Mapping (SLAM) algorithms often incorporate odometry data to improve the accuracy of robot localization.|In mobile robot navigation, odometry readings are commonly used as a feedback signal for control systems.|Visual odometry is an alternative to wheel odometry for estimating a robot's motion by analyzing visual input from cameras.
G10.1_2093013061_5	Nao humanoid	A small humanoid robot designed to interact with people and provided with programmable features, developed by Aldebaran Robotics.	The Nao humanoid robot is a popular platform for research and education in the field of robotics.|Nao humanoid robots are characterized by their human-like appearance and advanced capabilities such as walking, speech recognition, and object manipulation.	Researchers have developed various algorithms for programming Nao humanoid robots to perform complex tasks such as soccer playing and dance choreography.|The Nao humanoid robot has been used in studies related to human-robot interaction and social robotics.|Nao robots are equipped with sensors and actuators that enable them to perceive and interact with their environment.|The Nao robot platform provides a user-friendly interface for developing and testing new software applications for humanoid robots.
G04.1_2339209416_1	bioassay protocols	Protocols which make use of an analytical method to determine the potency or effect of a substance by its effect on living plants or animals, or on living cells or tissues.	Bioassay protocols refer to the specific set of instructions and procedures for conducting biological assays to assess the potency or concentration of a substance.|In computer science, bioassay protocols involve the development of computational models to analyze and interpret the results obtained from biological assays.	The bioassay protocols used in the study were not well-documented, leading to potential inconsistencies in the experimental results.|The computational analysis of bioassay data requires expertise in statistical modeling and machine learning algorithms.
G04.1_2339209416_3	ontology	A set of concepts and categories in a subject area or domain that shows their properties and the relations between them.	Ontology in computer science refers to a formal representation of knowledge within a domain, including the entities, relationships, and constraints that exist within that domain.|In the context of artificial intelligence, ontology is used to structure information and enable reasoning about the concepts and entities in a specific domain.	The ontology of the system was not sufficiently comprehensive to capture the complexity of real-world data, leading to limitations in knowledge representation.|The development of ontologies for specific domains often requires collaboration between domain experts and computer scientists to ensure accurate knowledge modeling.
